Name,Team,W,L,SV,G,GS,IP,K%,BB%,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,ERA-,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
Jose Butto,SFG,0.0,0.0,0.0,3.0,0.0,2.0,0.3125,0.25,22.500012069947044,18.000009655957633,9.000004827978817,0.8,0.69444444,0.142857142,0.5,94.1187515258789,22.500012069947044,552.3978553335373,12.90730492738241,17.080971312526916,7.118454503263015,-0.17762668430805206,Jose Butto,23313,676130
Jose Franco,CIN,1.0,0.0,0.0,10.0,0.0,20.1,0.16129032,0.17204301,6.639344677493279,7.08196765599283,1.3278689354986557,0.2711864406779661,0.77922078,0.338709677,0.107142857,95.08687133789063,4.426229784995519,101.08516774611964,5.189333682477491,5.8842426661681415,6.057595438844283,-0.1795063465833664,Jose Franco,27014,683742
Lyon Richardson,- - -,0.0,1.0,0.0,3.0,1.0,3.1,0.25,0.1875,10.800004312993819,8.100003234745364,5.400002156496909,0.0,0.3125,0.625,0.666666666,96.30000114440918,13.500005391242272,308.30986546908935,11.682675589537048,12.080967396499162,5.647834668191361,-0.18132145795971155,Lyon Richardson,24581,680689
Ben Peoples,TEX,0.0,1.0,0.0,14.0,0.0,14.1,0.14035088,0.10526316,5.023256259586091,3.7674421946895684,1.8837210973447842,0.20512820512820512,1.0,0.452380952,0.166666666,96.23496230332168,2.5116281297930456,61.231241485396126,3.878943278191074,6.150731516529147,5.337061454723393,-0.18456017971038818,Ben Peoples,26406,687239
David Sandlin,CHW,2.0,1.0,0.0,5.0,3.0,24.2,0.22641509,0.11320755,8.756756982462006,4.378378491231003,2.1891892456155015,0.25396825396825395,0.60150376,0.434782608,0.25,96.56158811051324,6.932432611115755,166.21232330916968,4.2464382172019715,5.878261171735232,4.193796091313809,-0.18459278345108032,David Sandlin,31743,689818
Ethan Roberts,CHC,0.0,2.0,0.0,23.0,0.0,25.2,0.15454545,0.12727273,5.961040437634069,4.909092125110409,1.0519483125236593,0.2602739726027397,0.7183908,0.486842105,0.115384615,,4.207793250094637,102.66902907196777,5.00073129599285,5.262782524608941,5.281770228881385,-0.18483217060565948,Ethan Roberts,24930,681799
John King,MIA,6.0,2.0,1.0,48.0,1.0,47.2,0.17837838,0.07567568,6.230770809795745,2.6433573132466797,1.3216786566233398,0.18110236220472442,0.70680628,0.470149253,0.137254901,90.5,3.587413496549065,84.80810773065112,3.863479001966805,4.7383068796907235,4.454166058948812,-0.18541806191205978,John King,22051,667463
Chase Petty,CIN,1.0,2.0,1.0,16.0,3.0,31.2,0.10791367,0.0647482,4.263158493887438,2.557895096332463,1.7052633975549754,0.2358490566037736,0.69364162,0.375,0.127659574,96.88028169014085,4.831579626405764,110.34244961018332,5.682818169762651,5.733595754089831,5.524574058616599,-0.18774393945932388,Chase Petty,30170,695534
Yariel Rodriguez,TOR,0.0,1.0,0.0,10.0,0.0,9.1,0.13333333,0.15555556,5.785715665136394,6.750001609325793,1.928571888378798,0.3448275862068966,0.52325581,0.387096774,0.153846153,95.63055419921875,7.714287553515192,186.55510458343576,7.3576782840389185,7.152393344470664,6.482072700132635,-0.18793943524360657,Yariel Rodriguez,33838,684320
Andrew Hoffmann,ARI,1.0,0.0,0.0,8.0,0.0,11.2,0.20338983,0.13559322,9.257144118328656,6.171429412219104,2.314286029582164,0.37142857142857144,0.625,0.314285714,0.2,94.43025374212185,7.714286765273879,183.0178113516081,4.808661517349362,6.680964292798791,5.290778161645189,-0.19086356461048126,Andrew Hoffmann,29633,694851
